chr	start	end
HiC_scaffold_1	0	100107381
HiC_scaffold_2	0	105422710
HiC_scaffold_3	0	84653302
HiC_scaffold_4	0	71730761
HiC_scaffold_5	0	82087087
HiC_scaffold_6	0	72648741
HiC_scaffold_7	0	206147042
HiC_scaffold_8	0	75724504
HiC_scaffold_9	0	42998131
HiC_scaffold_10	0	56992115
HiC_scaffold_11	0	68020579
HiC_scaffold_12	0	69753810
HiC_scaffold_13	0	174872996
HiC_scaffold_14	0	125785404
HiC_scaffold_15	0	95956831
HiC_scaffold_16	0	92867347
HiC_scaffold_17	0	25658408
HiC_scaffold_18	0	72251902
HiC_scaffold_19	0	70704222
HiC_scaffold_20	0	58087477
HiC_scaffold_21	0	66824428
HiC_scaffold_22	0	65113277
HiC_scaffold_23	0	99334673
HiC_scaffold_24	0	206517395
HiC_scaffold_25	0	119051098
HiC_scaffold_26	0	169401614
HiC_scaffold_27	0	144118974
HiC_scaffold_28	0	145833057
